id,SrcField,SrcFile
VIC_PT044,AAC,IDM00013.shp
VIC_PT045,AAC,IDM00013.shp
VIC_PT046,AAC,IDM00013.shp
VIC_PT047,AAC,IDM00013.shp
VIC_PT048,AAC,IDM00013.shp
VIC_PT049,AAC,IDM00013.shp
VIC_PT050,AAC,IDM00013.shp
VIC_PT051,AAC,IDM00013.shp
VIC_PT052,AAC,IDM00013.shp
VIC_PT053,AAC,IDM00013.shp
VIC_PT054,AAC,IDM00013.shp
VIC_PT055,AAC,IDM00013.shp
VIC_PT056,AAC,IDM00013.shp
VIC_PT057,AAC,IDM00013.shp
VIC_PT058,AAC,IDM00013.shp
VIC_PT059,AAC,IDM00013.shp
VIC_PT060,AAC,IDM00013.shp
VIC_PT061,AAC,IDM00013.shp
VIC_PT062,AAC,IDM00013.shp
VIC_PT063,AAC,IDM00013.shp
VIC_PT064,AAC,IDM00013.shp
VIC_PT065,AAC,IDM00013.shp
VIC_PT066,AAC,IDM00013.shp
VIC_PT067,AAC,IDM00013.shp
VIC_PT068,AAC,IDM00013.shp
VIC_PT069,AAC,IDM00013.shp
VIC_PT070,AAC,IDM00013.shp
VIC_PT071,AAC,IDM00013.shp
VIC_PT072,AAC,IDM00013.shp
VIC_PT073,AAC,IDM00013.shp
VIC_PT074,AAC,IDM00013.shp
VIC_PT075,AAC,IDM00013.shp
VIC_PT076,AAC,IDM00013.shp
VIC_PT077,AAC,IDM00013.shp
VIC_PT078,AAC,IDM00013.shp
VIC_PT079,AAC,IDM00013.shp
VIC_PT080,AAC,IDM00013.shp
VIC_PT081,AAC,IDM00013.shp
VIC_PT082,AAC,IDM00013.shp
VIC_PT083,AAC,IDM00013.shp
VIC_PT084,AAC,IDM00013.shp
VIC_PT085,AAC,IDM00013.shp
VIC_PT086,AAC,IDM00013.shp
VIC_PT088,AAC,IDM00013.shp
VIC_PT089,AAC,IDM00013.shp
VIC_PT090,AAC,IDM00013.shp
VIC_PT091,AAC,IDM00013.shp
VIC_PT092,AAC,IDM00013.shp
VIC_PT093,AAC,IDM00013.shp
VIC_PT095,AAC,IDM00013.shp
VIC_PT096,AAC,IDM00013.shp
VIC_PT097,AAC,IDM00013.shp
VIC_PT098,AAC,IDM00013.shp
VIC_PT099,AAC,IDM00013.shp
VIC_PT100,AAC,IDM00013.shp
VIC_PT102,AAC,IDM00013.shp
VIC_PT103,AAC,IDM00013.shp
VIC_PT104,AAC,IDM00013.shp
VIC_PT105,AAC,IDM00013.shp
VIC_PT106,AAC,IDM00013.shp
VIC_PT107,AAC,IDM00013.shp
VIC_PT108,AAC,IDM00013.shp
VIC_PT109,AAC,IDM00013.shp
VIC_PT110,AAC,IDM00013.shp
VIC_PT111,AAC,IDM00013.shp
VIC_PT112,AAC,IDM00013.shp
VIC_PT113,AAC,IDM00013.shp
VIC_PT114,AAC,IDM00013.shp
VIC_PT116,AAC,IDM00013.shp
VIC_PT117,AAC,IDM00013.shp
VIC_PT118,AAC,IDM00013.shp
VIC_PT119,AAC,IDM00013.shp
